,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.53,20.04,55.4,82,30,2.24,ZA,1580184353
1,cape town,-33.93,18.42,61.0,93,28,5.82,ZA,1580184088
2,bardiyah,31.76,25.09,57.34,62,0,12.91,LY,1580184448
3,punta arenas,-53.15,-70.92,46.4,81,41,9.17,CL,1580184336
4,qaanaaq,77.48,-69.36,-11.9,67,48,3.2,GL,1580184353
5,nikolskoye,59.7,30.79,24.8,92,90,6.71,RU,1580184360
6,santa cruz cabralia,-16.28,-39.02,77.0,94,75,3.36,BR,1580184448
7,port alfred,-33.59,26.89,60.01,67,13,4.0,ZA,1580184350
8,ushibuka,32.19,130.02,56.84,68,0,16.75,JP,1580184449
9,umba,66.69,34.34,10.78,94,97,5.17,RU,1580184449
10,rio gallegos,-51.62,-69.22,46.4,81,92,12.75,AR,1580184273
11,rikitea,-23.12,-134.97,80.13,75,71,7.4,PF,1580184351
12,nampula,-15.12,39.27,73.4,94,90,5.82,MZ,1580184449
13,camacha,33.08,-16.33,60.8,82,20,9.48,PT,1580184356
14,ushuaia,-54.8,-68.3,46.4,93,75,6.93,AR,1580184061
15,banda aceh,5.56,95.32,81.03,76,98,5.37,ID,1580184449
16,lebu,-37.62,-73.65,59.47,86,88,6.62,CL,1580184349
17,dalby,-27.18,151.27,93.99,55,75,10.29,AU,1580184449
18,pevek,69.7,170.31,-0.11,87,100,2.39,RU,1580184357
19,souillac,-20.52,57.52,79.0,88,40,3.36,MU,1580184357
20,atuona,-9.8,-139.03,81.72,75,80,11.54,PF,1580184351
21,arraial do cabo,-22.97,-42.03,76.71,89,24,18.34,BR,1580184363
22,geraldton,-28.77,114.6,84.2,62,0,14.99,AU,1580184349
23,cabedelo,-6.98,-34.83,80.6,83,95,4.7,BR,1580184449
24,saint-philippe,-21.36,55.77,75.2,57,26,6.93,RE,1580184356
25,saskylakh,71.92,114.08,-23.1,95,7,4.27,RU,1580184357
26,statesboro,32.45,-81.78,50.0,93,1,6.93,US,1580184450
27,neiafu,-18.65,-173.98,84.2,74,40,4.7,TO,1580184450
28,sibu,2.3,111.82,86.0,74,75,9.17,MY,1580184412
29,carnarvon,-24.87,113.63,82.4,78,0,14.99,AU,1580184366
30,brainerd,46.36,-94.2,19.4,85,90,6.93,US,1580184450
31,upernavik,72.79,-56.15,-15.12,94,100,4.79,GL,1580184357
32,castro,-24.79,-50.01,64.0,96,47,3.49,BR,1580184355
33,krasnoselkup,65.7,82.47,21.18,94,100,17.02,RU,1580184450
34,moree,-29.47,149.85,91.4,36,8,4.7,AU,1580184450
35,hamilton,39.18,-84.53,34.0,82,90,3.91,US,1580184351
36,oranjemund,-28.55,16.43,60.15,86,48,9.06,NA,1580184375
37,busselton,-33.65,115.33,96.01,16,0,10.83,AU,1580184243
38,tateyama,34.98,139.87,44.6,93,75,13.87,JP,1580184450
39,lakselv,70.05,24.97,3.2,83,24,33.33,NO,1580184450
40,hare bay,48.85,-54.01,28.4,100,90,13.87,CA,1580184450
41,penzance,50.12,-5.54,43.0,60,99,29.97,GB,1580184450
42,mataura,-46.19,168.86,66.0,58,67,8.99,NZ,1580184352
43,salinas,36.68,-121.66,55.0,87,75,6.93,US,1580184419
44,fortuna,40.6,-124.16,54.0,81,90,6.93,US,1580184358
45,avarua,-21.21,-159.78,78.8,94,100,12.75,CK,1580184354
46,walvis bay,-22.96,14.51,62.01,100,0,6.93,NA,1580184450
47,san patricio,19.22,-104.7,75.97,76,0,15.52,MX,1580184360
48,bengkulu,-3.8,102.27,88.32,56,78,0.6,ID,1580184355
49,sur,22.57,59.53,62.64,59,0,9.91,OM,1580184373
50,grindavik,63.84,-22.43,33.8,79,90,14.99,IS,1580184354
51,masterton,-40.96,175.66,71.01,83,63,6.4,NZ,1580184361
52,grand haven,43.06,-86.23,34.0,93,90,5.82,US,1580184367
53,thompson,55.74,-97.86,12.2,85,90,2.24,CA,1580184355
54,jamestown,42.1,-79.24,34.0,86,90,11.41,US,1580184095
55,hobyo,5.35,48.53,76.6,75,100,19.69,SO,1580184451
56,norman wells,65.28,-126.83,-18.4,68,75,8.05,CA,1580184352
57,maumere,-8.62,122.21,83.66,74,83,6.2,ID,1580184451
58,dikson,73.51,80.55,-11.22,96,90,4.76,RU,1580184352
59,hithadhoo,-0.6,73.08,81.55,79,100,15.03,MV,1580184102
60,vaini,-21.2,-175.2,80.6,88,75,4.7,TO,1580184348
61,hilo,19.73,-155.09,78.8,65,90,11.41,US,1580184352
62,singkang,2.1,102.8,86.0,70,20,6.93,MY,1580184451
63,innisfail,-17.53,146.03,80.01,78,100,4.0,AU,1580184451
64,hasaki,35.73,140.83,51.8,93,75,10.29,JP,1580184349
65,ponta do sol,32.67,-17.1,60.8,72,20,5.82,PT,1580184355
66,safranbolu,41.25,32.69,35.56,78,98,4.68,TR,1580184451
67,rivadavia,-33.19,-68.46,78.8,44,47,9.17,AR,1580184451
68,taoudenni,22.68,-3.98,66.97,22,0,10.09,ML,1580184451
69,butaritari,3.07,172.79,84.47,78,95,23.11,KI,1580184350
70,puerto ayora,-0.74,-90.35,73.99,14,81,1.01,EC,1580184336
71,kapchorwa,1.4,34.45,65.46,88,100,2.71,UG,1580184451
72,yellowknife,62.46,-114.35,14.0,85,90,6.93,CA,1580184349
73,tucupita,9.06,-62.05,72.93,97,0,3.47,VE,1580184452
74,kodiak,57.79,-152.41,10.4,66,1,8.05,US,1580184350
75,luderitz,-26.65,15.16,60.8,63,0,10.29,NA,1580184362
76,flinders,-34.58,150.86,93.0,65,75,14.99,AU,1580184364
77,concepcion del oro,24.63,-101.42,54.63,46,0,2.62,MX,1580184452
78,coihaique,-45.58,-72.07,57.2,71,90,12.75,CL,1580184452
79,lompoc,34.64,-120.46,57.99,50,1,8.05,US,1580184357
80,mukhen,48.1,136.1,19.71,69,0,2.33,RU,1580184452
81,navahrudak,53.6,25.83,32.5,92,100,6.62,BY,1580184452
82,warrington,53.39,-2.58,39.2,86,40,16.11,GB,1580184393
83,kapaa,22.08,-159.32,78.8,69,40,8.05,US,1580184228
84,kavieng,-2.57,150.8,85.06,73,6,10.16,PG,1580184365
85,tuktoyaktuk,69.45,-133.04,-20.2,75,40,17.22,CA,1580184353
86,barrow,71.29,-156.79,-22.0,74,90,5.82,US,1580184354
87,east london,-33.02,27.91,59.0,87,100,5.82,ZA,1580184351
88,cameta,-2.24,-49.5,75.22,96,100,1.23,BR,1580184452
89,tasiilaq,65.61,-37.64,28.4,63,100,5.82,GL,1580184351
90,vila franca do campo,37.72,-25.43,64.4,93,75,23.04,PT,1580184452
91,lincoln,40.8,-96.67,33.01,96,90,6.93,US,1580184452
92,cidreira,-30.18,-50.21,74.3,77,77,12.68,BR,1580184366
93,ilulissat,69.22,-51.1,6.8,60,100,6.93,GL,1580184377
94,katete,-0.78,29.75,62.56,66,99,1.25,UG,1580184453
95,hermanus,-34.42,19.23,60.01,97,10,7.16,ZA,1580184354
96,albany,42.6,-73.97,37.4,100,90,6.93,US,1580184348
97,guerrero negro,27.98,-114.06,61.32,76,0,5.23,MX,1580184360
98,amuntai,-2.42,115.25,88.45,67,10,2.8,ID,1580184453
99,evensk,61.95,159.23,17.78,90,100,6.69,RU,1580184453
100,verkh-usugli,52.7,115.17,9.82,72,0,1.72,RU,1580184373
101,airai,-8.93,125.41,83.08,61,100,5.12,TL,1580184353
102,preobrazheniye,42.9,133.91,31.78,43,100,6.2,RU,1580184453
103,impfondo,1.64,18.07,68.63,33,0,1.25,CG,1580184367
104,saint-augustin,51.23,-58.65,18.46,90,100,23.17,CA,1580184378
105,georgetown,5.41,100.34,89.6,62,20,8.05,MY,1580184349
106,katherine,-14.47,132.27,95.0,53,40,16.11,AU,1580184453
107,atambua,-9.11,124.89,84.06,70,94,5.53,ID,1580184453
108,belaya gora,68.53,146.42,-29.47,98,85,4.7,RU,1580184365
109,batticaloa,7.71,81.69,75.49,76,47,2.01,LK,1580184453
110,carutapera,-1.2,-46.02,82.26,80,100,17.16,BR,1580184453
111,bluff,-46.6,168.33,66.0,58,97,8.99,NZ,1580184354
112,gawler,-34.6,138.73,89.01,50,13,13.87,AU,1580184453
113,singaraja,-8.11,115.09,84.96,70,0,4.03,ID,1580184453
114,ribeira grande,38.52,-28.7,61.84,96,100,23.8,PT,1580184353
115,yantzaza,-3.83,-78.76,56.77,97,100,4.09,EC,1580184453
116,port macquarie,-31.43,152.92,93.99,49,0,13.87,AU,1580184199
117,havre-saint-pierre,50.23,-63.6,15.8,72,90,19.46,CA,1580184453
118,manokwari,-0.87,134.08,81.75,75,13,7.96,ID,1580184360
119,klaksvik,62.23,-6.59,35.6,72,63,3.36,FO,1580184358
120,auki,-8.77,160.7,85.48,68,100,8.61,SB,1580184358
121,tual,-5.67,132.75,84.38,75,69,15.79,ID,1580184352
122,tuatapere,-46.13,167.68,66.0,58,100,8.99,NZ,1580184363
123,new norfolk,-42.78,147.06,75.99,36,100,19.46,AU,1580184352
124,karpathos,35.51,27.21,58.05,75,23,9.33,GR,1580184185
125,hobart,-42.88,147.33,75.99,36,32,19.46,AU,1580184358
126,mount gambier,-37.83,140.77,73.4,49,82,12.75,AU,1580184357
127,ribeira brava,32.65,-17.07,60.8,72,20,5.82,PT,1580184454
